lead_time_days,avg_daily_rate_adr,total_stay_nights,special_requests_count,previous_cancellations_count,booking_channel_score,is_canceled
103,176.063,6,3,1,4,0
349,164.362,4,0,4,4,1
271,105.49,13,5,1,3,0
107,99.896,14,0,2,3,1
72,84.16,12,0,3,4,1
189,82.765,8,2,0,4,0
21,134.128,3,2,1,1,0
103,119.209,13,4,3,1,1
122,95.056,4,0,3,2,1
215,58.049,6,0,1,4,0
331,124.247,11,2,0,3,0
88,101.218,7,2,0,3,0
100,112.188,4,4,1,4,0
360,132.186,4,4,3,2,0
152,35.0,7,1,0,3,0
131,58.669,6,3,1,4,0
150,211.858,13,0,1,4,0
309,99.736,11,0,1,2,1
258,35.0,8,4,3,4,1
344,62.002,1,4,0,3,0
294,219.379,10,1,3,1,1
192,91.88,13,3,2,2,1
277,166.361,11,1,0,4,0
161,124.845,7,3,3,2,1
314,100.601,12,5,0,4,0
22,151.018,7,0,2,1,1
253,35.0,11,1,4,2,1
236,62.355,7,4,1,4,0
345,100.306,7,1,3,1,1
49,66.284,10,5,2,3,0
59,96.769,14,1,2,4,1
170,154.149,10,0,0,1,1
188,125.285,8,5,0,1,0
271,173.225,9,4,1,2,0
190,127.815,9,4,0,4,0
175,159.698,2,2,3,3,0
51,117.437,13,5,3,4,0
364,96.389,13,2,3,1,1
55,179.223,7,2,4,3,1
244,91.626,7,0,3,1,1
320,133.754,4,1,0,2,0
131,150.756,9,4,0,4,0
307,153.66,8,4,3,1,1
135,73.382,12,1,2,1,1
21,162.078,1,4,2,4,0
329,80.842,2,1,2,3,0
167,152.428,13,5,1,1,0
274,141.407,13,0,4,4,1
89,152.745,2,0,3,2,1
316,71.8,12,0,1,2,1
14,143.517,12,1,2,4,1
242,163.424,11,1,3,1,1
265,127.736,8,3,1,4,0
346,87.255,1,4,0,4,0
53,156.79,4,4,2,1,1
340,124.557,10,3,1,3,1
92,53.022,12,3,0,3,0
264,84.152,5,0,2,2,0
35,98.948,9,3,4,3,1
206,180.233,7,1,2,4,1
81,173.207,8,2,4,1,1
50,173.079,14,1,4,2,1
360,129.294,11,3,4,3,1
2,156.544,9,4,3,4,0
54,74.369,13,1,3,2,1
106,120.272,7,4,4,1,1
260,138.065,5,1,0,3,0
310,77.004,13,4,4,4,1
191,128.396,5,5,1,1,0
218,187.466,10,1,4,4,1
44,142.351,11,4,3,4,0
162,156.702,6,2,3,4,0
202,35.0,5,0,1,1,1
270,182.319,13,1,1,2,1
351,112.555,12,2,2,4,1
304,89.253,11,0,0,2,1
271,113.014,9,1,0,2,1
215,60.599,3,2,0,3,0
252,161.918,3,2,3,3,0
190,106.584,7,5,0,2,0
296,90.455,7,2,2,3,1
213,113.278,6,5,2,3,0
208,164.721,3,3,0,2,0
237,125.258,14,4,1,1,1
338,63.612,13,0,2,3,1
53,138.599,7,4,1,3,0
280,82.841,5,4,3,1,1
217,35.0,7,5,2,1,1
252,179.84,2,4,1,1,0
188,138.289,6,2,0,2,1
41,116.869,14,5,3,1,1
157,106.176,8,4,4,2,1
15,175.883,1,5,4,4,0
301,243.486,4,3,0,4,0
65,137.951,11,5,3,1,1
345,78.815,1,1,3,1,1
327,113.821,14,2,3,4,1
9,137.223,1,0,3,2,1
344,35.0,10,1,4,2,1
129,133.38,12,1,1,1,1
136,137.457,14,1,3,1,1
63,173.054,14,4,1,1,1
139,168.885,11,5,3,4,0
81,124.447,8,5,2,3,0
163,180.585,7,4,2,1,1
289,201.427,12,2,2,2,1
261,121.118,10,4,3,3,1
231,136.727,13,4,1,2,1
41,49.308,1,4,4,3,0
28,61.961,11,2,0,4,0
135,86.472,14,2,4,3,1
201,102.255,13,3,3,2,1
328,76.155,2,3,2,3,0
268,118.56,4,3,2,4,0
33,103.452,1,3,1,2,1
48,162.836,3,5,3,1,1
62,101.009,8,1,4,3,1
216,35.0,8,1,3,2,1
293,125.03,8,3,3,3,0
99,119.432,6,3,2,4,0
172,85.518,6,0,4,2,1
360,123.8,5,1,0,1,1
214,76.989,13,0,2,1,1
35,133.194,9,0,4,3,1
227,225.317,4,4,1,4,0
101,47.776,10,5,2,4,0
131,99.35,12,2,1,3,1
257,92.94,12,1,2,2,1
5,102.67,12,3,3,2,1
218,160.797,7,3,4,3,1
255,141.713,1,2,1,2,1
359,153.951,9,1,2,2,1
283,121.22,7,3,1,2,0
207,67.116,10,3,2,3,1
15,75.413,12,4,2,1,1
346,149.85,9,0,0,4,0
42,126.833,7,3,0,1,0
179,170.408,2,5,0,2,0
63,131.73,6,1,1,3,0
352,72.679,10,5,3,4,1
231,99.124,12,2,2,2,1
241,142.593,11,4,4,4,0
52,148.413,4,1,0,4,0
96,154.204,3,4,1,1,0
222,78.059,2,0,1,2,0
231,71.959,6,3,1,4,0
237,112.408,8,1,4,1,1
143,177.603,6,2,4,3,1
171,92.245,9,0,0,4,0
29,138.199,14,0,4,2,1
36,138.202,5,4,0,3,0
13,150.431,2,0,4,4,0
160,186.578,8,1,4,4,1
327,182.476,9,4,4,2,1
187,96.216,14,0,0,4,1
243,36.084,10,2,2,2,1
86,92.859,4,5,0,2,0
284,123.027,6,1,2,2,1
66,105.534,11,2,1,2,0
170,198.716,10,2,1,4,0
45,120.751,8,4,0,3,0
62,146.148,9,3,2,3,0
134,128.689,12,4,2,1,1
284,106.135,5,1,2,2,0
28,43.008,12,1,1,4,1
108,116.855,6,4,0,4,0
44,250.186,11,3,3,1,1
340,70.222,4,4,2,3,0
286,47.405,5,1,2,4,0
331,197.456,7,3,3,1,1
128,149.683,9,1,0,3,0
348,127.497,10,3,2,4,1
231,174.507,11,3,0,2,0
190,86.74,13,4,2,1,1
225,115.736,6,4,4,4,0
283,158.206,14,4,2,1,1
121,204.414,6,3,4,1,1
116,73.258,8,3,0,1,1
233,171.229,11,1,2,2,1
259,135.274,4,2,1,3,0
359,126.522,3,4,1,3,0
198,119.691,14,5,3,4,0
137,64.614,7,1,1,2,0
318,158.524,5,1,4,3,0
165,88.709,2,0,1,4,0
225,76.812,2,4,1,4,0
307,155.418,11,1,1,1,1
234,151.565,6,0,2,2,1
172,123.16,8,5,3,3,0
152,163.182,1,5,0,2,0
315,177.037,11,4,3,2,1
160,172.329,6,3,4,3,0
96,98.869,12,0,2,3,1
233,160.564,2,3,2,2,0
180,128.466,2,5,1,4,0
113,189.036,7,5,1,2,0
318,115.051,10,2,4,3,1
52,105.741,1,2,2,2,0
268,95.448,6,2,0,3,0
295,127.572,14,2,3,4,1
113,138.669,7,1,2,2,1
101,139.438,14,2,0,4,0
113,133.967,8,1,0,2,0
81,146.841,7,1,3,2,1
187,111.098,6,4,0,3,0
113,85.099,9,1,4,1,1
2,81.607,13,1,0,3,0
130,159.002,3,2,4,2,1
220,138.813,11,1,0,1,1
54,45.766,6,3,1,1,0
343,163.87,4,2,0,4,0
224,195.217,2,0,4,2,1
225,91.363,1,2,0,3,0
126,133.446,12,1,0,1,1
130,101.062,12,3,0,1,1
53,145.132,14,2,4,3,1
172,73.36,1,3,0,3,0
218,117.142,11,0,3,1,1
160,159.253,10,5,3,3,0
198,169.428,3,0,4,4,0
247,137.06,4,5,1,1,0
324,106.438,2,4,3,4,0
203,56.296,13,5,2,2,1
184,89.698,12,4,3,4,0
123,101.229,11,2,2,3,1
255,92.091,11,4,4,1,1
294,122.382,14,3,1,4,0
280,106.324,11,4,2,3,1
325,126.885,1,3,2,3,0
98,168.105,4,5,3,4,0
198,103.742,7,5,2,1,0
240,64.685,10,5,4,4,0
144,91.932,11,4,4,2,1
97,143.344,6,5,4,4,0
201,147.118,6,4,3,4,0
124,136.243,11,4,1,1,1
187,172.029,9,1,3,4,0
326,112.545,14,1,4,3,1
349,202.087,2,4,3,1,0
259,152.727,4,3,4,3,1
148,35.0,5,2,0,1,1
252,192.026,1,0,0,2,0
346,89.321,8,1,2,2,1
147,78.636,8,4,1,2,1
148,140.951,6,0,0,4,0
352,50.473,12,1,4,2,1
199,92.181,5,2,3,1,1
308,182.284,8,3,3,2,1
128,142.249,3,4,2,1,0
39,152.49,3,2,3,3,0
338,93.724,2,1,0,4,0
360,58.465,5,4,3,3,0
129,148.273,3,0,0,3,0
267,157.21,3,5,0,2,0
151,155.4,6,3,1,2,0
298,128.363,8,1,2,2,1
99,81.317,2,3,4,3,1
263,217.511,4,4,0,4,0
252,139.191,11,5,2,4,0
144,113.045,7,2,4,3,0
346,113.222,1,3,3,4,0
112,125.984,1,0,2,3,0
60,162.784,12,1,2,3,1
2,127.585,13,0,2,4,1
304,154.341,10,3,3,1,1
254,126.056,7,5,3,1,1
140,115.506,14,2,2,2,1
37,145.65,7,2,1,4,0
160,144.131,1,0,0,2,0
9,113.215,1,4,3,3,0
233,90.032,4,4,1,1,0
99,133.669,5,5,3,4,0
147,123.134,5,2,2,4,0
304,97.805,4,0,1,4,0
208,86.304,8,0,4,1,1
131,136.419,7,0,0,2,0
152,142.004,9,3,0,1,0
54,105.599,7,5,3,2,0
120,96.803,10,4,0,3,0
161,86.79,1,4,4,3,1
116,135.29,13,3,1,2,0
75,87.841,14,1,1,3,1
113,209.645,7,3,2,3,0
104,103.589,1,5,1,4,0
340,35.0,7,0,3,4,1
254,118.793,10,3,4,1,1
227,117.079,8,0,2,1,1
112,164.469,11,5,3,1,0
99,131.525,9,5,3,4,0
153,86.647,12,2,3,1,1
349,108.544,3,0,0,1,1
338,133.097,4,4,3,4,0
194,35.0,4,3,0,2,0
310,173.545,12,5,1,4,0
163,86.753,9,0,0,2,0
208,176.682,13,1,3,4,0
169,135.699,7,2,4,1,1
161,145.184,3,1,4,3,0
68,165.977,10,5,1,3,0
289,142.925,5,1,3,2,1
277,146.915,7,1,0,2,0
304,113.423,8,2,4,2,1
135,134.887,1,2,2,3,0
195,96.5,12,2,3,2,1
128,106.264,2,2,3,4,0
33,198.588,7,1,2,4,0
176,87.672,11,4,4,3,1
22,126.173,13,4,2,4,0
238,124.539,14,2,1,2,1
158,107.57,13,3,0,3,0
38,140.576,2,0,0,2,0
230,143.589,7,5,4,4,0
365,82.967,9,3,2,2,1
51,124.054,11,5,3,3,0
264,76.705,2,3,3,2,1
283,151.542,7,3,3,4,0
27,127.059,4,4,1,1,0
226,123.293,11,0,1,3,1
277,146.361,13,3,3,2,1
286,108.98,2,2,4,3,0
97,156.561,13,5,1,2,0
284,82.062,7,4,1,1,1
317,176.475,13,5,0,4,0
304,97.964,5,2,0,2,1
147,52.153,1,2,4,2,1
4,106.859,5,3,1,1,0
35,102.321,12,2,1,3,0
192,106.557,12,0,2,4,0
49,129.266,3,2,4,2,1
17,163.914,7,3,4,2,1
172,112.332,6,5,2,4,0
220,92.335,8,2,2,1,1
158,74.938,13,4,0,3,0
46,101.273,5,4,4,4,0
6,44.487,2,4,4,3,1
99,90.995,9,5,2,1,1
233,169.762,14,1,3,1,1
37,87.066,11,4,3,4,0
280,145.149,8,4,0,2,0
349,70.941,6,1,3,1,1
302,190.844,13,5,3,1,1
181,193.504,10,4,3,4,0
95,143.641,7,3,1,4,0
99,199.65,9,5,0,4,0
188,134.232,7,4,2,1,1
116,150.741,3,4,3,3,0
191,170.477,6,1,1,1,1
253,127.189,11,3,3,4,0
161,57.905,13,5,1,2,1
256,151.559,11,2,0,2,0
323,101.126,7,0,3,4,1
128,104.099,2,3,1,2,1
18,131.916,3,2,4,1,1
281,142.651,4,3,4,3,1
223,126.005,10,2,1,1,1
54,145.429,6,2,3,4,0
58,91.726,1,3,3,1,1
323,118.292,9,1,0,2,0
360,153.963,5,3,0,1,0
174,190.912,13,3,2,3,1
280,205.057,12,2,0,2,0
114,137.319,14,0,3,3,1
288,153.6,7,2,2,3,1
342,199.263,9,4,0,3,0
151,93.167,9,3,1,1,1
127,145.188,1,5,4,1,1
155,150.734,1,3,0,1,0
273,177.914,3,1,0,1,0
104,74.514,6,5,1,2,0
299,82.424,2,2,3,1,1
246,120.855,10,1,1,2,1
176,135.109,12,3,0,3,0
39,164.915,11,2,3,2,1
170,140.702,1,2,2,4,0
247,113.943,1,4,0,1,0
26,136.658,13,4,1,4,0
355,132.042,5,0,2,2,1
306,189.801,4,4,4,1,1
13,126.626,1,5,2,4,0
316,104.677,4,2,1,1,1
313,137.984,3,4,2,2,0
36,127.939,2,0,1,4,0
173,57.16,9,3,0,2,0
20,119.374,14,5,3,4,1
321,115.97,11,4,4,3,1
264,98.245,1,2,3,3,1
142,161.423,7,3,3,3,0
143,88.573,14,2,3,3,1
92,138.225,13,3,1,3,0
354,114.086,4,5,1,2,0
322,124.308,5,2,4,3,1
288,136.471,10,4,1,2,0
215,67.697,5,4,1,3,0
342,127.666,1,0,1,1,1
51,211.558,6,3,1,3,0
153,57.729,13,0,0,1,1
186,117.696,9,1,4,2,1
63,164.93,2,4,1,3,0
190,132.065,7,3,4,4,0
125,147.519,6,5,2,2,1
150,35.0,5,0,0,3,0
314,143.93,4,5,1,2,0
58,89.532,4,5,0,4,0
342,132.395,6,5,0,3,0
305,118.823,4,0,2,4,0
180,211.133,5,1,4,3,0
170,141.868,13,0,0,1,1
